"location.id","location.region","date","jsa.fem"
"1-120446174","West Midlands",NA,35
"1-146280120","West Midlands","2011-01-24",50
"1-146280120","West Midlands","2011-01-24",50
"1-146280120","West Midlands",NA,50
"1-146280120","West Midlands",NA,50
"1-146280140","West Midlands","2011-01-24",50
"1-146280140","West Midlands","2011-01-24",50
"1-146280140","West Midlands",NA,50
"1-146280140","West Midlands",NA,50
"1-1959944880","West Midlands","2015-01-12",20
"1-1959944880","West Midlands","2015-07-31",20
"1-1959944880","West Midlands",NA,20
"1-1959944880","West Midlands",NA,20
"1-126240664","West Midlands","2010-10-01",220
"1-126240664","West Midlands","2010-11-25",220
"1-126240664","West Midlands",NA,220
"1-126240664","West Midlands",NA,220
"1-120445098","West Midlands","2010-10-01",55
"1-120445098","West Midlands","2010-11-29",55
"1-120445098","West Midlands",NA,55
"1-120445098","West Midlands",NA,55
"1-126668199","West Midlands","2010-10-01",55
"1-126668199","West Midlands","2011-04-20",55
"1-126668199","West Midlands",NA,55
"1-126668199","West Midlands",NA,55
"1-126668220","West Midlands","2010-10-01",55
"1-126668220","West Midlands","2011-04-20",55
"1-126668220","West Midlands",NA,55
